date,city,us_aqi,pm2_5,pm10,no2,o3,fetched_at_utc
2026-09-23,Delhi,179,99.7,111.3,60.2,73.0,2026-09-23T16:30:40Z
2026-09-23,Mumbai,89,34.7,46.7,16.0,78.0,2026-09-23T16:30:40Z
2026-09-23,Bengaluru,55,16.6,22.8,14.5,64.0,2026-09-23T16:30:40Z
2026-09-23,Kolkata,33,8.4,9.2,9.2,45.0,2026-09-23T16:30:40Z
2026-09-23,Chennai,64,14.5,16.0,24.7,50.0,2026-09-23T16:30:40Z
2026-09-23,Hyderabad,75,20.0,20.6,7.7,97.0,2026-09-23T17:20:07Z
2026-09-23,Pune,99,30.0,30.9,17.0,98.0,2026-09-23T17:20:07Z
2026-09-23,Ahmedabad,98,36.6,44.5,46.4,37.0,2026-09-23T17:20:07Z
2026-09-24,Delhi,159,32.1,52.3,20.1,116.0,2026-09-24T04:13:17Z
2026-09-24,Mumbai,103,33.6,53.7,9.5,88.0,2026-09-24T04:13:17Z
2026-09-24,Bengaluru,55,6.1,8.3,6.0,67.0,2026-09-24T04:13:17Z
2026-09-24,Kolkata,31,6.1,7.0,5.3,64.0,2026-09-24T04:13:17Z
2026-09-24,Chennai,57,12.8,15.5,10.3,74.0,2026-09-24T04:13:17Z
2026-09-24,Hyderabad,80,20.7,21.1,8.5,98.0,2026-09-24T04:13:17Z
2026-09-24,Pune,89,30.2,34.5,8.5,102.0,2026-09-24T04:13:17Z
2026-09-24,Ahmedabad,78,20.5,34.1,9.0,69.0,2026-09-24T04:13:17Z
