time_ist,city,from_category,to_category,us_aqi,pm2_5,pm10,fetched_at_utc
2026-09-24T12:30,Delhi,,Unhealthy,157,44.2,61.7,2026-09-24T07:42:34Z
2026-09-24T12:30,Mumbai,,Unhealthy for Sensitive Groups,104,30.4,50.5,2026-09-24T07:42:34Z
2026-09-24T12:30,Bengaluru,,Moderate,54,5.6,7.9,2026-09-24T07:42:34Z
2026-09-24T12:30,Kolkata,,Good,31,5.4,7.1,2026-09-24T07:42:34Z
2026-09-24T12:30,Chennai,,Moderate,58,15.1,19.1,2026-09-24T07:42:34Z
2026-09-24T12:30,Hyderabad,,Moderate,80,23.5,23.9,2026-09-24T07:42:34Z
2026-09-24T12:30,Pune,,Moderate,91,26.3,30.4,2026-09-24T07:42:34Z
2026-09-24T12:30,Ahmedabad,,Moderate,76,19.7,34.7,2026-09-24T07:42:34Z
2026-09-24T19:30,Pune,Moderate,Unhealthy for Sensitive Groups,124,22.4,25.1,2026-09-24T14:27:54Z
2026-09-25T00:30,Delhi,Unhealthy,Unhealthy for Sensitive Groups,140,32.9,65.0,2026-09-24T19:30:38Z
2026-09-25T00:30,Pune,Unhealthy for Sensitive Groups,Moderate,79,19.0,25.8,2026-09-24T19:30:38Z
2026-09-25T05:30,Bengaluru,Moderate,Good,40,2.5,2.8,2026-09-25T00:01:24Z
2026-09-25T10:30,Mumbai,Unhealthy for Sensitive Groups,Moderate,90,30.7,51.9,2026-09-25T05:25:48Z
2026-09-25T22:30,Delhi,Unhealthy for Sensitive Groups,Moderate,88,39.5,122.5,2026-09-25T17:33:32Z
