date,city,issued,us_aqi_mean,us_aqi_max,pm2_5_mean,pm10_mean,fetched_at_utc
2026-09-25,Delhi,2026-09-24,108.8,137,25.1,48.1,2026-09-24T06:51:41Z
2026-09-25,Mumbai,2026-09-24,84.3,93,25.8,41.4,2026-09-24T06:51:41Z
2026-09-25,Bengaluru,2026-09-24,34.0,43,3.5,3.7,2026-09-24T06:51:41Z
2026-09-25,Kolkata,2026-09-24,35.6,41,7.6,8.8,2026-09-24T06:51:41Z
2026-09-25,Chennai,2026-09-24,65.9,85,13.9,17.3,2026-09-24T06:51:41Z
2026-09-25,Hyderabad,2026-09-24,77.0,83,19.3,21.7,2026-09-24T06:51:41Z
2026-09-25,Pune,2026-09-24,74.2,87,16.4,21.8,2026-09-24T06:51:41Z
2026-09-25,Ahmedabad,2026-09-24,70.1,71,19.9,32.5,2026-09-24T06:51:41Z
2026-09-26,Delhi,2026-09-25,98.5,103,31.4,51.8,2026-09-25T08:48:00Z
2026-09-26,Mumbai,2026-09-25,77.8,87,17.8,26.0,2026-09-25T08:48:00Z
2026-09-26,Bengaluru,2026-09-25,32.8,46,7.4,9.5,2026-09-25T08:48:00Z
2026-09-26,Kolkata,2026-09-25,46.4,57,13.1,15.5,2026-09-25T08:48:00Z
2026-09-26,Chennai,2026-09-25,77.1,125,15.4,18.4,2026-09-25T08:48:00Z
2026-09-26,Hyderabad,2026-09-25,73.7,82,18.1,22.5,2026-09-25T08:48:00Z
2026-09-26,Pune,2026-09-25,67.2,71,13.7,18.5,2026-09-25T08:48:00Z
2026-09-26,Ahmedabad,2026-09-25,63.1,70,12.6,19.2,2026-09-25T08:48:00Z
